price,size,piperepair_plug,pipe_repair,sq_price,area,year_built,room_num,sqprice_adjusted
277000.0,43.0,1012.5,1996,6441.86, Meilahti,1946.0,2,7454.36
273500.0,60.0,1350.0,1987,4558.33, Kumpula,1937.0,3,5908.33
179000.0,40.0,1350.0,1987,4475.0, Kumpula,1937.0,2,5825.0
398000.0,69.0,0.0,2035,5768.12, Hakaniemi,1985.0,3,5768.12
395000.0,58.0,1387.5,1986,6810.34, Taka-Töölö,1936.0,3,8197.84
339000.0,38.0,0.0,2071,8921.05, Kalasatama,2021.0,2,8921.05
485000.0,65.0,0.0,2057,7461.54, Arabianranta,2007.0,2,7461.54
174000.0,72.0,0.0,2032,2416.67, Kaarela/Malminkartano,1982.0,3,2416.67
396375.0,75.0,0.0,2073,5285.0, Myllypuro,2023.0,3,5285.0
289000.0,45.0,0.0,2049,6422.22, Herttoniemi,1999.0,2,6422.22
557000.0,70.0,1687.5,1978,7957.14, Etu-Töölö,1928.0,2,9644.64
719000.0,82.0,2550.0,1955,8768.29, Kamppi,1905.0,2,11318.29
499000.0,49.0,1312.5,1988,10183.67, Ullanlinna,1938.0,2,11496.17
265895.0,40.0,0.0,2074,6647.38, Verkkosaari,2024.0,2,6647.38
170000.0,77.0,262.5,2016,2207.79, Kontula,1966.0,3,2470.29
35847.0,49.0,0.0,2064,731.57, Suurmetsä,2014.0,2,731.57
31941.0,43.0,0.0,2069,742.81, Mellunkylä,2019.0,2,742.81
15357.0,49.0,0.0,2044,313.41, Kivikko,1994.0,2,313.41
31866.0,50.0,0.0,2060,637.32, Suurmetsä,2010.0,2,637.32
17451.0,47.0,0.0,2047,371.3, Viikki,1997.0,2,371.3
495000.0,91.0,1425.0,1985,5439.56, Etu-Töölö,1935.0,3,6864.56
21790.0,69.0,0.0,2046,315.8, Ruoholahti,1996.0,3,315.8
49500.0,45.0,0.0,2071,1100.0, Koskela,2021.0,2,1100.0
318000.0,54.0,1762.5,1976,5888.89, Sörnäinen,1926.0,2,7651.39
529000.0,67.0,2287.5,1962,7895.52, Etu-Töölö,1912.0,2,10183.02
368000.0,47.0,1275.0,1989,7829.79, Töölö,1939.0,2,9104.79
269000.0,50.0,675.0,2005,5380.0, Etelä-Haaga,1955.0,2,6055.0
339000.0,51.0,37.5,2022,6647.06, Lauttasaari,1972.0,2,6684.56
